Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,,,,,,,,,,,
ML281866901 / XC604593,1,1,cbbbbbbbbbbbcccccc,c,b,b,b,b,b,b,b,b,b,b,b,c,c,c,c,c,c,,
ML280550671,2,2,bbbbbbbbbbaaaddddda,b,b,b,b,b,b,b,b,b,b,a,a,a,d,d,d,d,d,a,
,2,3,bbbbbbbbaaaaaaaaaddd,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,d,d,d
ML218943421,3,4,kkkaaaacccccccc,k,k,k,a,a,a,a,c,c,c,c,c,c,c,c,,,,,
,3,5,bbbbbbbccccc,b,b,b,b,b,b,b,c,c,c,c,c,,,,,,,,
,3,6,bbbbbbccccc,b,b,b,b,b,b,c,c,c,c,c,,,,,,,,,
,3,7,kkkaaaaccccccfff,k,k,k,a,a,a,a,c,c,c,c,c,c,f,f,f,,,,
,3,8,kaaaaaaacccccffff,k,a,a,a,a,a,a,a,c,c,c,c,c,f,f,f,f,,,
,3,9,kkaaaaacccccffff,k,k,a,a,a,a,a,c,c,c,c,c,f,f,f,f,,,,
ML218943381,3,10,kkkaabbbaaaaa,k,k,k,a,a,b,b,b,a,a,a,a,a,,,,,,,
,3,11,kkkkbbbbaaaaa,k,k,k,k,b,b,b,b,a,a,a,a,a,,,,,,,
ML175353,4,12,bbbbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,
,4,13,bbbbccccccc,b,b,b,b,c,c,c,c,c,c,c,,,,,,,,,
,4,14,bbbbbbbbbccccc,b,b,b,b,b,b,b,b,b,c,c,c,c,c,,,,,,
,4,15,kkkkkdddddd,k,k,k,k,k,d,d,d,d,d,d,,,,,,,,,
,4,16,bbkkkkkddddddd,b,b,k,k,k,k,k,d,d,d,d,d,d,d,,,,,,
,4,17,bbkkkkdddddddd,b,b,k,k,k,k,d,d,d,d,d,d,d,d,,,,,,
,4,18,bbkkkkkddddddd,b,b,k,k,k,k,k,d,d,d,d,d,d,d,,,,,,
,4,19,bbkkkkkddddddd,b,b,k,k,k,k,k,d,d,d,d,d,d,d,,,,,,
,4,20,bbkkkkkdddddddd,b,b,k,k,k,k,k,d,d,d,d,d,d,d,d,,,,,
,4,21,bbkkkkkddddddd,b,b,k,k,k,k,k,d,d,d,d,d,d,d,,,,,,
,4,22,bbkkkkkddddddd,b,b,k,k,k,k,k,d,d,d,d,d,d,d,,,,,,
,4,23,bbkkkkkddddddd,b,b,k,k,k,k,k,d,d,d,d,d,d,d,,,,,,
,4,24,bkcccccccca,b,k,c,c,c,c,c,c,c,c,a,,,,,,,,,
,4,25,bkkccccccca,b,k,k,c,c,c,c,c,c,c,a,,,,,,,,,
ML175348,4,26,aaaaaaaaaaaaaaccc,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,
,4,27,kaaaaaaaaaaaaacc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,,,,
,4,28,kaaaaaaaaaaaaacc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,,,,
,4,29,aaaaaaaaaaaaaccc,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,,
,4,30,kaaaaaaaaaaaaaccc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,
,4,31,kaaaaaaaaaaaaaccc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,
,4,32,kaaaaaaaaaaaaaccc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,
,4,33,kaaaaaaaaaaaaaccc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,
,4,34,kaaaaaaaaaaaaaccc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,
,4,35,kaaaaaaaaaaaaaccc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,
,4,36,kaaaaaaaaaaaaacc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,,,,
,4,37,kaaaaaaaaaaaaacc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,,,,
,4,38,aaaaaaaaaaaaaacc,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,,,,
,4,39,kaaaaaaaaaaaaaccc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,
,4,40,kaaaaaaaaaaaaaccc,k,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,
,4,41,kaaaaaaaaaaaccc,k,a,a,a,a,a,a,a,a,a,a,a,c,c,c,,,,,
XC573154,5,42,kkkkkkaaaaaaaaaaaaa,k,k,k,k,k,k,a,a,a,a,a,a,a,a,a,a,a,a,a,
,5,43,kkkkkaaaaaaaaaaaaa,k,k,k,k,k,a,a,a,a,a,a,a,a,a,a,a,a,a,,
,5,44,kkkkkaaaaaaaaaaaaa,k,k,k,k,k,a,a,a,a,a,a,a,a,a,a,a,a,a,,
XC156784,6,45,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,46,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,47,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,48,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,49,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,50,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,51,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,52,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
XC156783,6,53,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,54,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,55,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,56,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
,6,57,bbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,,,,
AV5607,7,58,kkkkkkbbbb,k,k,k,k,k,k,b,b,b,b,,,,,,,,,,
,7,59,kkkkkkbbbb,k,k,k,k,k,k,b,b,b,b,,,,,,,,,,
,7,60,kkkkkkkkbbbb,k,k,k,k,k,k,k,k,b,b,b,b,,,,,,,,
AV7657,8,61,bbbbbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,
,8,62,bbbbbbbbbbbbcccc,b,b,b,b,b,b,b,b,b,b,b,b,c,c,c,c,,,,