Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,
ML282448851,1,1,abedeff,a,b,e,d,e,f,f,,
,1,2,abedeff,a,b,e,d,e,f,f,,
ML227098341,2,3,fdfh,f,d,f,h,,,,,
,2,4,fdfh,f,d,f,h,,,,,
,2,5,fdfh,f,d,f,h,,,,,
,2,6,fdfh,f,d,f,h,,,,,
ML225542331,2,7,fdfh,f,d,f,h,,,,,
,2,8,fdfh,f,d,f,h,,,,,
,2,9,fdfh,f,d,f,h,,,,,
,2,10,fdfh,f,d,f,h,,,,,
ML225542291 / XC472347,2,11,iiefff,i,i,e,f,f,f,,,
,2,12,iiefff,i,i,e,f,f,f,,,
,2,13,iiefff,i,i,e,f,f,f,,,
ML150909101,3,14,epkphfff,e,p,k,p,h,f,f,f,
,3,15,epkphfff,e,p,k,p,h,f,f,f,
,3,16,epkphfff,e,p,k,p,h,f,f,f,
,3,17,epkphfff,e,p,k,p,h,f,f,f,
,3,18,epkphfff,e,p,k,p,h,f,f,f,
,3,19,epkphfff,e,p,k,p,h,f,f,f,
,3,20,epkphfff,e,p,k,p,h,f,f,f,
,3,21,epkphfff,e,p,k,p,h,f,f,f,
,3,22,epkphfff,e,p,k,p,h,f,f,f,
,3,23,epkphfff,e,p,k,p,h,f,f,f,
,3,24,epkphfff,e,p,k,p,h,f,f,f,
,3,25,epkphfff,e,p,k,p,h,f,f,f,
,3,26,epkphfff,e,p,k,p,h,f,f,f,
,3,27,epkphfff,e,p,k,p,h,f,f,f,
,3,28,epkphfff,e,p,k,p,h,f,f,f,
,3,29,epkphfff,e,p,k,p,h,f,f,f,
ML150909031,3,30,fefef,f,e,f,e,f,,,,
,3,31,fefef,f,e,f,e,f,,,,
,3,32,fefef,f,e,f,e,f,,,,
,3,33,fefef,f,e,f,e,f,,,,
,3,34,fefef,f,e,f,e,f,,,,
,3,35,fefef,f,e,f,e,f,,,,
,3,36,fefef,f,e,f,e,f,,,,
,3,37,fefef,f,e,f,e,f,,,,
,3,38,fefef,f,e,f,e,f,,,,
,3,39,fefef,f,e,f,e,f,,,,
,3,40,fefef,f,e,f,e,f,,,,
,3,41,fefef,f,e,f,e,f,,,,
,3,42,fefef,f,e,f,e,f,,,,
,3,43,fefef,f,e,f,e,f,,,,
ML150909021,3,44,epkphfff,e,p,k,p,h,f,f,f,
,3,45,epkphfff,e,p,k,p,h,f,f,f,
,3,46,epkphfff,e,p,k,p,h,f,f,f,
,3,47,epkphfff,e,p,k,p,h,f,f,f,
,3,48,epkphfff,e,p,k,p,h,f,f,f,
,3,49,epkphfff,e,p,k,p,h,f,f,f,
,3,50,epkphfff,e,p,k,p,h,f,f,f,
,3,51,epkphfff,e,p,k,p,h,f,f,f,
,3,52,epkphfff,e,p,k,p,h,f,f,f,
,3,53,epkphfff,e,p,k,p,h,f,f,f,
,3,54,epkphfff,e,p,k,p,h,f,f,f,
ML150909011,3,55,eddh,e,d,d,h,,,,,
,3,56,eddh,e,d,d,h,,,,,
,3,57,eddh,e,d,d,h,,,,,
,3,58,eddh,e,d,d,h,,,,,
,3,59,eddh,e,d,d,h,,,,,
,3,60,fefef,f,e,f,e,f,,,,
,3,61,fefef,f,e,f,e,f,,,,
,3,62,fefef,f,e,f,e,f,,,,
,3,63,fefef,f,e,f,e,f,,,,
,3,64,fefef,f,e,f,e,f,,,,
,3,65,fefef,f,e,f,e,f,,,,
,3,66,fefef,f,e,f,e,f,,,,
,3,67,fefef,f,e,f,e,f,,,,
ML150908991,3,68,fefef,f,e,f,e,f,,,,
,3,69,fefef,f,e,f,e,f,,,,
,3,70,fefef,f,e,f,e,f,,,,
,3,71,fefef,f,e,f,e,f,,,,
,3,72,fefef,f,e,f,e,f,,,,
,3,73,fefef,f,e,f,e,f,,,,
,3,74,fefef,f,e,f,e,f,,,,
,3,75,fefef,f,e,f,e,f,,,,
,3,76,fefef,f,e,f,e,f,,,,
,3,77,fefef,f,e,f,e,f,,,,
XC374363,4,78,fdhff,f,d,h,f,f,,,,
,4,79,fdhff,f,d,h,f,f,,,,
,4,80,fdhff,f,d,h,f,f,,,,
,4,81,fdhff,f,d,h,f,f,,,,
,4,82,fdhff,f,d,h,f,f,,,,
,4,83,fdhff,f,d,h,f,f,,,,
,4,84,fdhff,f,d,h,f,f,,,,
,4,85,fdhff,f,d,h,f,f,,,,
,4,86,fdhff,f,d,h,f,f,,,,
,4,87,fdhff,f,d,h,f,f,,,,
,4,88,fdhff,f,d,h,f,f,,,,
,4,89,fdhff,f,d,h,f,f,,,,
,4,90,fdhff,f,d,h,f,f,,,,
,4,91,fdhff,f,d,h,f,f,,,,
,4,92,fdhff,f,d,h,f,f,,,,
,4,93,fdhff,f,d,h,f,f,,,,
,4,94,fdhff,f,d,h,f,f,,,,
XC374362,5,95,fhkfffff,f,h,k,f,f,f,f,f,
,5,96,fhkffff,f,h,k,f,f,f,f,,
,5,97,fhkffff,f,h,k,f,f,f,f,,
,5,98,fhkfffff,f,h,k,f,f,f,f,f,
,5,99,fhkffff,f,h,k,f,f,f,f,,
,5,100,fhkfffff,f,h,k,f,f,f,f,f,
,5,101,fhkffff,f,h,k,f,f,f,f,,
,5,102,fhkfffff,f,h,k,f,f,f,f,f,
,5,103,fhkfffff,f,h,k,f,f,f,f,f,
,5,104,fhkffff,f,h,k,f,f,f,f,,
,5,105,fhkfffff,f,h,k,f,f,f,f,f,
,5,106,fhkfffff,f,h,k,f,f,f,f,f,
,5,107,fhkfffff,f,h,k,f,f,f,f,f,
,5,108,fhkffff,f,h,k,f,f,f,f,,
,5,109,fhkffff,f,h,k,f,f,f,f,,
XC292723,6,110,fdhff,f,d,h,f,f,,,,
,6,111,fdhff,f,d,h,f,f,,,,
,6,112,fdhff,f,d,h,f,f,,,,
,6,113,fdhff,f,d,h,f,f,,,,
,6,114,fdhff,f,d,h,f,f,,,,
XC157918,7,115,fdhff,f,d,h,f,f,,,,
,7,116,fdhff,f,d,h,f,f,,,,
,7,117,fdhff,f,d,h,f,f,,,,
,7,118,fdhff,f,d,h,f,f,,,,
,7,119,fdhff,f,d,h,f,f,,,,
,7,120,fdhff,f,d,h,f,f,,,,
,7,121,fdhff,f,d,h,f,f,,,,
,7,122,fdhff,f,d,h,f,f,,,,
,7,123,fdhff,f,d,h,f,f,,,,
,7,124,fdhff,f,d,h,f,f,,,,
,7,125,fdhff,f,d,h,f,f,,,,
,7,126,fdhff,f,d,h,f,f,,,,
,7,127,fdhff,f,d,h,f,f,,,,
,7,128,fdhff,f,d,h,f,f,,,,
XC157917,7,129,fefef,f,e,f,e,f,,,,
,7,130,fefef,f,e,f,e,f,,,,
,7,131,fefef,f,e,f,e,f,,,,
,7,132,fefef,f,e,f,e,f,,,,
,7,133,fefef,f,e,f,e,f,,,,
,7,134,fefef,f,e,f,e,f,,,,
,7,135,fefef,f,e,f,e,f,,,,
,7,136,fefef,f,e,f,e,f,,,,
,7,137,fefef,f,e,f,e,f,,,,
XC21702,8,138,pbbaaaaa,p,b,b,a,a,a,a,a,
,8,139,pbbaaaaaa,p,b,b,a,a,a,a,a,a
,8,140,pbbaaaaa,p,b,b,a,a,a,a,a,
,8,141,pbbaaaaa,p,b,b,a,a,a,a,a,
,8,142,pbbaaaaa,p,b,b,a,a,a,a,a,
,8,143,pbbaaaaa,p,b,b,a,a,a,a,a,
,8,144,pbbaaaaaa,p,b,b,a,a,a,a,a,a
XC21701,9,145,iefh,i,e,f,h,,,,,
,9,146,iefh,i,e,f,h,,,,,
XC21699,9,147,fbdeff,f,b,d,e,f,f,,,
,9,148,fbdeff,f,b,d,e,f,f,,,
,9,149,fbdeff,f,b,d,e,f,f,,,
,9,150,fbdeff,f,b,d,e,f,f,,,
,9,151,fbdeff,f,b,d,e,f,f,,,
,9,152,fbdeff,f,b,d,e,f,f,,,
,9,153,fbdeff,f,b,d,e,f,f,,,
,9,154,fbdeff,f,b,d,e,f,f,,,
,9,155,fbdeff,f,b,d,e,f,f,,,
XC21698,10,156,pebh,p,e,b,h,,,,,
,10,157,pebh,p,e,b,h,,,,,
,10,158,pebh,p,e,b,h,,,,,
,10,159,pebh,p,e,b,h,,,,,
,10,160,pebh,p,e,b,h,,,,,
,10,161,pebh,p,e,b,h,,,,,
,10,162,pebh,p,e,b,h,,,,,
,10,163,pebh,p,e,b,h,,,,,
,10,164,pebh,p,e,b,h,,,,,
,10,165,pebh,p,e,b,h,,,,,
,10,166,pebh,p,e,b,h,,,,,
,10,167,pebh,p,e,b,h,,,,,
,10,168,pebh,p,e,b,h,,,,,
,10,169,pebh,p,e,b,h,,,,,
,10,170,pebh,p,e,b,h,,,,,
,10,171,pebh,p,e,b,h,,,,,
,10,172,pebh,p,e,b,h,,,,,
,10,173,pebh,p,e,b,h,,,,,
XC21697,10,174,fff,f,f,f,,,,,,
,10,175,fff,f,f,f,,,,,,
,10,176,fff,f,f,f,,,,,,
,10,177,fff,f,f,f,,,,,,
,10,178,fff,f,f,f,,,,,,
,10,179,fff,f,f,f,,,,,,
,10,180,fff,f,f,f,,,,,,
,10,181,fff,f,f,f,,,,,,
,10,182,fff,f,f,f,,,,,,
,10,183,fff,f,f,f,,,,,,
,10,184,fff,f,f,f,,,,,,
,10,185,fff,f,f,f,,,,,,
,10,186,fff,f,f,f,,,,,,
,10,187,fff,f,f,f,,,,,,
XC21696,10,188,fdefef,f,d,e,f,e,f,,,
,10,189,fdefef,f,d,e,f,e,f,,,
,10,190,fdefef,f,d,e,f,e,f,,,
,10,191,fdefef,f,d,e,f,e,f,,,
,10,192,fdefef,f,d,e,f,e,f,,,
,10,193,fdefef,f,d,e,f,e,f,,,
,10,194,fdefef,f,d,e,f,e,f,,,
,10,195,fdefef,f,d,e,f,e,f,,,
,10,196,fdefef,f,d,e,f,e,f,,,
XC336387,11,197,akdhff,a,k,d,h,f,f,,,
,11,198,akdhff,a,k,d,h,f,f,,,
,11,199,akdhff,a,k,d,h,f,f,,,
,11,200,akdhff,a,k,d,h,f,f,,,
,11,201,akdhff,a,k,d,h,f,f,,,
,11,202,akdhff,a,k,d,h,f,f,,,
,11,203,akdhff,a,k,d,h,f,f,,,
,11,204,akdhff,a,k,d,h,f,f,,,
,11,205,akdhff,a,k,d,h,f,f,,,
,11,206,akdhff,a,k,d,h,f,f,,,
,11,207,akdhff,a,k,d,h,f,f,,,
,11,208,akdhff,a,k,d,h,f,f,,,
,11,209,akdhff,a,k,d,h,f,f,,,
XC177706,12,210,pbhbff,p,b,h,b,f,f,,,
,12,211,pbhbff,p,b,h,b,f,f,,,
,12,212,pbhbff,p,b,h,b,f,f,,,
,12,213,pbhbff,p,b,h,b,f,f,,,
,12,214,pbhbff,p,b,h,b,f,f,,,
,12,215,pbhbff,p,b,h,b,f,f,,,
,12,216,pbhbff,p,b,h,b,f,f,,,
,12,217,pbhbff,p,b,h,b,f,f,,,
,12,218,pbhbff,p,b,h,b,f,f,,,
AV8652,13,219,hdff,h,d,f,f,,,,,
,13,220,hdff,h,d,f,f,,,,,
,13,221,hdff,h,d,f,f,,,,,
,13,222,hdff,h,d,f,f,,,,,
,13,223,hdff,h,d,f,f,,,,,
,13,224,hdff,h,d,f,f,,,,,
,13,225,hdff,h,d,f,f,,,,,
,13,226,hdff,h,d,f,f,,,,,
,13,227,hdff,h,d,f,f,,,,,
,13,228,hdff,h,d,f,f,,,,,
,13,229,hdff,h,d,f,f,,,,,
,13,230,hdff,h,d,f,f,,,,,
,13,231,hdff,h,d,f,f,,,,,
,13,232,hdff,h,d,f,f,,,,,
,13,233,ifef,i,f,e,f,,,,,
,13,234,ifef,i,f,e,f,,,,,
,13,235,fefef,f,e,f,e,f,,,,
,13,236,fefef,f,e,f,e,f,,,,
,13,237,pbhbff,p,b,h,b,f,f,,,
,13,238,pbhbff,p,b,h,b,f,f,,,
,13,239,pbhbff,p,b,h,b,f,f,,,
,13,240,pbhbff,p,b,h,b,f,f,,,
,13,241,pbhbff,p,b,h,b,f,f,,,
AV20013,14,242,efd,e,f,d,,,,,,
,14,243,efd,e,f,d,,,,,,
,14,244,efd,e,f,d,,,,,,
,14,245,efd,e,f,d,,,,,,
,14,246,efd,e,f,d,,,,,,
,14,247,efd,e,f,d,,,,,,
,14,248,efd,e,f,d,,,,,,
,14,249,efd,e,f,d,,,,,,
,14,250,efd,e,f,d,,,,,,
,14,251,efd,e,f,d,,,,,,
,14,252,efd,e,f,d,,,,,,
,14,253,efd,e,f,d,,,,,,