Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,,,,,,,
ML249399661,1,1,cbbbbbbbbccc,c,b,b,b,b,b,b,b,b,c,c,c,,,,
,1,2,cbbbbbbbbccc,c,b,b,b,b,b,b,b,b,c,c,c,,,,
,1,3,cbbbbbbbbccc,c,b,b,b,b,b,b,b,b,c,c,c,,,,
ML212330431,1,4,cbbbbbbbbcccc,c,b,b,b,b,b,b,b,b,c,c,c,c,,,
,1,5,cbbbbbbbbccc,c,b,b,b,b,b,b,b,b,c,c,c,,,,
,1,6,cbbbbbbbbccc,c,b,b,b,b,b,b,b,b,c,c,c,,,,
,1,7,cbbbbbbbbccc,c,b,b,b,b,b,b,b,b,c,c,c,,,,
ML237400,2,8,aaaaaaaadddddd,a,a,a,a,a,a,a,a,d,d,d,d,d,d,,
,2,9,aaaaaaaddddd,a,a,a,a,a,a,a,d,d,d,d,d,,,,
,2,10,aaaaaaadddddd,a,a,a,a,a,a,a,d,d,d,d,d,d,,,
,2,11,aaaaaadddddd,a,a,a,a,a,a,d,d,d,d,d,d,,,,
,2,12,aaaaaaaadddd,a,a,a,a,a,a,a,a,d,d,d,d,,,,
,2,13,aaaaaaaaddddd,a,a,a,a,a,a,a,a,d,d,d,d,d,,,
,2,14,aaaaaaadddd,a,a,a,a,a,a,a,d,d,d,d,,,,,
,2,15,aaaaaaaaddddd,a,a,a,a,a,a,a,a,d,d,d,d,d,,,
,2,16,aaaaaaaddddd,a,a,a,a,a,a,a,d,d,d,d,d,,,,
ML237279,3,17,bbbbbbbccccc,b,b,b,b,b,b,b,c,c,c,c,c,,,,
,3,18,bbbbbbbbbbbbaacc,b,b,b,b,b,b,b,b,b,b,b,b,a,a,c,c
,3,19,bbbbbbbaaccc,b,b,b,b,b,b,b,a,a,c,c,c,,,,
,3,20,bbbbbbbbacccc,b,b,b,b,b,b,b,b,a,c,c,c,c,,,
,3,21,bbbbbbbbccccc,b,b,b,b,b,b,b,b,c,c,c,c,c,,,
,3,22,bbbbbcccccccc,b,b,b,b,b,c,c,c,c,c,c,c,c,,,
,3,23,abbddddddddd,a,b,b,d,d,d,d,d,d,d,d,d,,,,
,3,24,abbddddddddd,a,b,b,d,d,d,d,d,d,d,d,d,,,,
,3,25,abbdddddddd,a,b,b,d,d,d,d,d,d,d,d,,,,,
,3,26,abbdddddddd,a,b,b,d,d,d,d,d,d,d,d,,,,,
,3,27,abbddddddddd,a,b,b,d,d,d,d,d,d,d,d,d,,,,
,3,28,abbdddddddd,a,b,b,d,d,d,d,d,d,d,d,,,,,
,3,29,abbddddddddd,a,b,b,d,d,d,d,d,d,d,d,d,,,,
,3,30,abbddddddddd,a,b,b,d,d,d,d,d,d,d,d,d,,,,
,3,31,abbdddddddd,a,b,b,d,d,d,d,d,d,d,d,,,,,
,3,32,abbdddddddd,a,b,b,d,d,d,d,d,d,d,d,,,,,
,3,33,abbdddddddd,a,b,b,d,d,d,d,d,d,d,d,,,,,
,3,34,abbddddddddd,a,b,b,d,d,d,d,d,d,d,d,d,,,,
,3,35,abbddddddddd,a,b,b,d,d,d,d,d,d,d,d,d,,,,
,3,36,abbddddddddd,a,b,b,d,d,d,d,d,d,d,d,d,,,,
,3,37,abbddddddddd,a,b,b,d,d,d,d,d,d,d,d,d,,,,
,3,38,abbddddddddd,a,b,b,d,d,d,d,d,d,d,d,d,,,,
XC437525,4,39,abbbccccccadd,a,b,b,b,c,c,c,c,c,c,a,d,d,,,
,4,40,abbbccccccaddd,a,b,b,b,c,c,c,c,c,c,a,d,d,d,,
,4,41,abbbccccccadd,a,b,b,b,c,c,c,c,c,c,a,d,d,,,
,4,42,abbbccccccadd,a,b,b,b,c,c,c,c,c,c,a,d,d,,,
,4,43,abbbccccccadd,a,b,b,b,c,c,c,c,c,c,a,d,d,,,
,4,44,abbbccccccadd,a,b,b,b,c,c,c,c,c,c,a,d,d,,,
,4,45,abbbccccccaddad,a,b,b,b,c,c,c,c,c,c,a,d,d,a,d,
,4,46,abbbccccccaddd,a,b,b,b,c,c,c,c,c,c,a,d,d,d,,
,4,47,bbdddddaadd,b,b,d,d,d,d,d,a,a,d,d,,,,,
,4,48,abbbccccccadd,a,b,b,b,c,c,c,c,c,c,a,d,d,,,
,4,49,abbbccccccaddd,a,b,b,b,c,c,c,c,c,c,a,d,d,d,,
,4,50,abbbccccccaddd,a,b,b,b,c,c,c,c,c,c,a,d,d,d,,