Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,,,
ML283904 / XC 426904,1,1,edededede,e,d,e,d,e,d,e,d,e,,,
,1,2,aededede,a,e,d,e,d,e,d,e,,,,
,1,3,aededede,a,e,d,e,d,e,d,e,,,,
,1,4,aededede,a,e,d,e,d,e,d,e,,,,
,1,5,aededede,a,e,d,e,d,e,d,e,,,,
,1,6,aededede,a,e,d,e,d,e,d,e,,,,
,1,7,aededede,a,e,d,e,d,e,d,e,,,,
,1,8,aededede,a,e,d,e,d,e,d,e,,,,
,1,9,aededede,a,e,d,e,d,e,d,e,,,,
,1,10,aededede,a,e,d,e,d,e,d,e,,,,
,1,11,aededede,a,e,d,e,d,e,d,e,,,,
,1,12,aededede,a,e,d,e,d,e,d,e,,,,
,1,13,aededede,a,e,d,e,d,e,d,e,,,,
,1,14,aededede,a,e,d,e,d,e,d,e,,,,
ML283905,1,15,aededede,a,e,d,e,d,e,d,e,,,,
,1,16,aededede,a,e,d,e,d,e,d,e,,,,
ML203904831,2,17,ececece,e,c,e,c,e,c,e,,,,,
,2,18,ececece,e,c,e,c,e,c,e,,,,,
,2,19,ececece,e,c,e,c,e,c,e,,,,,
,2,20,ececece,e,c,e,c,e,c,e,,,,,
,2,21,ececece,e,c,e,c,e,c,e,,,,,
,2,22,ececece,e,c,e,c,e,c,e,,,,,
ML200521251,3,23,efefef,e,f,e,f,e,f,,,,,,
,3,24,efefef,e,f,e,f,e,f,,,,,,
,3,25,efefef,e,f,e,f,e,f,,,,,,
,3,26,efefef,e,f,e,f,e,f,,,,,,
,3,27,efefef,e,f,e,f,e,f,,,,,,
ML200521161,3,28,efefef,e,f,e,f,e,f,,,,,,
,3,29,efefef,e,f,e,f,e,f,,,,,,
,3,30,efefef,e,f,e,f,e,f,,,,,,
,3,31,efefef,e,f,e,f,e,f,,,,,,
ML200521151,3,32,ececece,e,c,e,c,e,c,e,,,,,
,3,33,ececece,e,c,e,c,e,c,e,,,,,
,3,34,ececece,e,c,e,c,e,c,e,,,,,
,3,35,eececece,e,e,c,e,c,e,c,e,,,,
,3,36,ececece,e,c,e,c,e,c,e,,,,,
ML236428,4,37,efafaf,e,f,a,f,a,f,,,,,,
,4,38,efafaf,e,f,a,f,a,f,,,,,,
,4,39,efafaf,e,f,a,f,a,f,,,,,,
,4,40,efafaf,e,f,a,f,a,f,,,,,,
,4,41,efafaf,e,f,a,f,a,f,,,,,,
,4,42,efafaf,e,f,a,f,a,f,,,,,,
,4,43,efafaf,e,f,a,f,a,f,,,,,,
,4,44,efaf,e,f,a,f,,,,,,,,
,4,45,efafaf,e,f,a,f,a,f,,,,,,
ML41857,5,46,dcdcdcd,d,c,d,c,d,c,d,,,,,
,5,47,dcdcdcd,d,c,d,c,d,c,d,,,,,
,5,48,dcdcdcd,d,c,d,c,d,c,d,,,,,
,5,49,dcdcdcd,d,c,d,c,d,c,d,,,,,
,5,50,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,51,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,52,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,53,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,54,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,55,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,56,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,57,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,58,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,59,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,60,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,61,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,62,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,63,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,64,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,65,adcdcdcd,a,d,c,d,c,d,c,d,,,,
,5,66,adcdcdcd,a,d,c,d,c,d,c,d,,,,
ML174684,6,67,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,68,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,69,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,70,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,71,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,72,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,73,acacacacacac,a,c,a,c,a,c,a,c,a,c,a,c
,6,74,acacacacacac,a,c,a,c,a,c,a,c,a,c,a,c
,6,75,acacacacacac,a,c,a,c,a,c,a,c,a,c,a,c
,6,76,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,77,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,78,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,79,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,80,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,6,81,acacacacacac,a,c,a,c,a,c,a,c,a,c,a,c
,6,82,acacacacacac,a,c,a,c,a,c,a,c,a,c,a,c
,6,83,acacacacacac,a,c,a,c,a,c,a,c,a,c,a,c
ML335931541,7,84,adadadc,a,d,a,d,a,d,c,,,,,
,7,85,adadada,a,d,a,d,a,d,a,,,,,
,7,86,adadada,a,d,a,d,a,d,a,,,,,
ML325912271,8,87,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,8,88,cd,c,d,,,,,,,,,,
,8,89,dcdc,d,c,d,c,,,,,,,,
XC541372,10,90,aededede,a,e,d,e,d,e,d,e,,,,
,10,91,aededede,a,e,d,e,d,e,d,e,,,,
,10,92,aededede,a,e,d,e,d,e,d,e,,,,
,10,93,aededede,a,e,d,e,d,e,d,e,,,,
,10,94,aededede,a,e,d,e,d,e,d,e,,,,
,10,95,aededede,a,e,d,e,d,e,d,e,,,,
,10,96,aededede,a,e,d,e,d,e,d,e,,,,
XC613232,11,97,efgfgfg,e,f,g,f,g,f,g,,,,,
,11,98,efgfgfg,e,f,g,f,g,f,g,,,,,
XC533828,12,99,afbafbab,a,f,b,a,f,b,a,b,,,,
,12,100,afbafbab,a,f,b,a,f,b,a,b,,,,
XC255891,13,101,cdcdcdc,c,d,c,d,c,d,c,,,,,
,13,102,cdcdcdc,c,d,c,d,c,d,c,,,,,
,13,103,cdcdcdc,c,d,c,d,c,d,c,,,,,
,13,104,cdcdcdc,c,d,c,d,c,d,c,,,,,
,13,105,cdcdcdc,c,d,c,d,c,d,c,,,,,
,13,106,cdcdcdc,c,d,c,d,c,d,c,,,,,
XC243517,14,107,dcecece,d,c,e,c,e,c,e,,,,,
,14,108,dcecece,d,c,e,c,e,c,e,,,,,
,14,109,dcecece,d,c,e,c,e,c,e,,,,,
,14,110,dcecece,d,c,e,c,e,c,e,,,,,
,14,111,acdcdcdcdc,a,c,d,c,d,c,d,c,d,c,,
,14,112,dcecece,d,c,e,c,e,c,e,,,,,
,14,113,dcecece,d,c,e,c,e,c,e,,,,,
XC201801,15,114,dcecece,d,c,e,c,e,c,e,,,,,
XC106796,16,115,edededede,e,d,e,d,e,d,e,d,e,,,
,16,116,ededede,e,d,e,d,e,d,e,,,,,
,16,117,edededede,e,d,e,d,e,d,e,d,e,,,
,16,118,edededede,e,d,e,d,e,d,e,d,e,,,
,16,119,ededede,e,d,e,d,e,d,e,,,,,
,16,120,edededede,e,d,e,d,e,d,e,d,e,,,
,16,121,edededede,e,d,e,d,e,d,e,d,e,,,
,16,122,edededede,e,d,e,d,e,d,e,d,e,,,
,16,123,ededede,e,d,e,d,e,d,e,,,,,
XC106795,16,124,ededede,e,d,e,d,e,d,e,,,,,
,16,125,edededede,e,d,e,d,e,d,e,d,e,,,
,16,126,edededede,e,d,e,d,e,d,e,d,e,,,
XC21704,17,127,adadada,a,d,a,d,a,d,a,,,,,
,17,128,adadada,a,d,a,d,a,d,a,,,,,
XC21703,17,129,dcdcdcd,d,c,d,c,d,c,d,,,,,
,17,130,dcdcdcd,d,c,d,c,d,c,d,,,,,
,17,131,dcdcdcd,d,c,d,c,d,c,d,,,,,
,17,132,dcdcdcd,d,c,d,c,d,c,d,,,,,
,17,133,dcdcd,d,c,d,c,d,,,,,,,
,17,134,dcdcd,d,c,d,c,d,,,,,,,
,17,135,dcdcd,d,c,d,c,d,,,,,,,
,17,136,dcdcd,d,c,d,c,d,,,,,,,
,17,137,dcdcd,d,c,d,c,d,,,,,,,
XC18929,18,138,aededede,a,e,d,e,d,e,d,e,,,,
,18,139,dfafaf,d,f,a,f,a,f,,,,,,
,18,140,efafaf,e,f,a,f,a,f,,,,,,
,18,141,efafaf,e,f,a,f,a,f,,,,,,
,18,142,efafaf,e,f,a,f,a,f,,,,,,
,18,143,efafaf,e,f,a,f,a,f,,,,,,
,18,144,efafaf,e,f,a,f,a,f,,,,,,
XC329077,19,145,dcecececec,d,c,e,c,e,c,e,c,e,c,,
,19,146,dcecececec,d,c,e,c,e,c,e,c,e,c,,
XC329076,19,147,dcececec,d,c,e,c,e,c,e,c,,,,
,19,148,dcecececec,d,c,e,c,e,c,e,c,e,c,,
,19,149,dcecececec,d,c,e,c,e,c,e,c,e,c,,
,19,150,dcecececec,d,c,e,c,e,c,e,c,e,c,,
,19,151,dcececec,d,c,e,c,e,c,e,c,,,,
,19,152,dcecececec,d,c,e,c,e,c,e,c,e,c,,
XC329074,19,153,dcecececec,d,c,e,c,e,c,e,c,e,c,,
,19,154,dcecececec,d,c,e,c,e,c,e,c,e,c,,
,19,155,dcecececec,d,c,e,c,e,c,e,c,e,c,,
XC329072,19,156,dcececec,d,c,e,c,e,c,e,c,,,,
,19,157,dcececec,d,c,e,c,e,c,e,c,,,,
,19,158,dcececec,d,c,e,c,e,c,e,c,,,,
,19,159,dcececec,d,c,e,c,e,c,e,c,,,,
XC100927,20,160,kdfdf,k,d,f,d,f,,,,,,,
,20,161,kdfdf,k,d,f,d,f,,,,,,,
,20,162,cdfcf,c,d,f,c,f,,,,,,,
,20,163,cddcd,c,d,d,c,d,,,,,,,
,20,164,cddcd,c,d,d,c,d,,,,,,,
XC88688,21,165,cdccdccdc,c,d,c,c,d,c,c,d,c,,,
,21,166,cdccdccdc,c,d,c,c,d,c,c,d,c,,,
,21,167,cdccdccdc,c,d,c,c,d,c,c,d,c,,,
,21,168,cdccdccdcg,c,d,c,c,d,c,c,d,c,g,,
,21,169,cdccdccdc,c,d,c,c,d,c,c,d,c,,,
,21,170,cdccdccdc,c,d,c,c,d,c,c,d,c,,,
XC88687,21,171,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,21,172,cdcdcdc,c,d,c,d,c,d,c,,,,,
,21,173,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,21,174,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
XC78603,22,175,cece,c,e,c,e,,,,,,,,
,22,176,ecece,e,c,e,c,e,,,,,,,
,22,177,ecece,e,c,e,c,e,,,,,,,
,22,178,ecece,e,c,e,c,e,,,,,,,
,22,179,ecece,e,c,e,c,e,,,,,,,
,22,180,ecece,e,c,e,c,e,,,,,,,
,22,181,ecece,e,c,e,c,e,,,,,,,
,22,182,ecece,e,c,e,c,e,,,,,,,
,22,183,ecece,e,c,e,c,e,,,,,,,
,22,184,ecec,e,c,e,c,,,,,,,,
XC35519,23,185,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,23,186,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,23,187,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
,23,188,cdcdcdcdc,c,d,c,d,c,d,c,d,c,,,
XC329073,24,189,cdcdcdcgc,c,d,c,d,c,d,c,g,c,,,
,24,190,dcddcddc,d,c,d,d,c,d,d,c,,,,
,24,191,cdcdcdcc,c,d,c,d,c,d,c,c,,,,
,24,192,cdcdcdc,c,d,c,d,c,d,c,,,,,
AV#8653,25,193,aededede,a,e,d,e,d,e,d,e,,,,
,25,194,aededede,a,e,d,e,d,e,d,e,,,,
,25,195,aededede,a,e,d,e,d,e,d,e,,,,
,25,196,aededede,a,e,d,e,d,e,d,e,,,,
,25,197,aededede,a,e,d,e,d,e,d,e,,,,
,25,198,aededede,a,e,d,e,d,e,d,e,,,,
,25,199,aededede,a,e,d,e,d,e,d,e,,,,
,25,200,aededede,a,e,d,e,d,e,d,e,,,,
,25,201,aededede,a,e,d,e,d,e,d,e,,,,
,25,202,aededede,a,e,d,e,d,e,d,e,,,,
,25,203,aededede,a,e,d,e,d,e,d,e,,,,
,25,204,aededede,a,e,d,e,d,e,d,e,,,,
,25,205,aededede,a,e,d,e,d,e,d,e,,,,
,25,206,aededede,a,e,d,e,d,e,d,e,,,,
,25,207,aededede,a,e,d,e,d,e,d,e,,,,
,25,208,aededede,a,e,d,e,d,e,d,e,,,,
AV8654,26,209,acacacac,a,c,a,c,a,c,a,c,,,,
,26,210,acacacac,a,c,a,c,a,c,a,c,,,,
,26,211,acacacac,a,c,a,c,a,c,a,c,,,,
,26,212,acacacac,a,c,a,c,a,c,a,c,,,,
AV10441,27,213,gbacbacc,g,b,a,c,b,a,c,c,,,,
,27,214,gbacbac,g,b,a,c,b,a,c,,,,,
,27,215,gbacbac,g,b,a,c,b,a,c,,,,,
,27,216,gbacbac,g,b,a,c,b,a,c,,,,,
,27,217,gbacbac,g,b,a,c,b,a,c,,,,,
,27,218,gbacbac,g,b,a,c,b,a,c,,,,,
,27,219,gbacbac,g,b,a,c,b,a,c,,,,,
,27,220,gbacbac,g,b,a,c,b,a,c,,,,,
,27,221,gbacbac,g,b,a,c,b,a,c,,,,,
,27,222,gbacbac,g,b,a,c,b,a,c,,,,,
,27,223,gbacbac,g,b,a,c,b,a,c,,,,,
,27,224,gbacbac,g,b,a,c,b,a,c,,,,,
,27,225,gbacbac,g,b,a,c,b,a,c,,,,,
,27,226,gbacbac,g,b,a,c,b,a,c,,,,,
,27,227,gbacbac,g,b,a,c,b,a,c,,,,,
,27,228,gbacbac,g,b,a,c,b,a,c,,,,,
,27,229,gbacbac,g,b,a,c,b,a,c,,,,,
AV15440,28,230,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
,28,231,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
,28,232,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
,28,233,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
,28,234,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
,28,235,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
,28,236,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
,28,237,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
,28,238,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
,28,239,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
,28,240,cdfbdfbdf,c,d,f,b,d,f,b,d,f,,,
XC633482,9,241,efefefegf,e,f,e,f,e,f,e,g,f,,,
,9,242,efefefe,e,f,e,f,e,f,e,,,,,
,9,243,efefefe,e,f,e,f,e,f,e,,,,,
,9,244,afafafg,a,f,a,f,a,f,g,,,,,
,9,245,dfafafaf,d,f,a,f,a,f,a,f,,,,