song complexity,groups
0.365451389,S.caudatus
0.285714286,S.caudatus
0.316326531,S.caudatus
0.527777778,S.caudatus
0.357993197,S.caudatus
0.202614379,S.caudatus
0.285714286,S.caudatus
0.574074074,S.caudatus
0.366666667,S.caudatus
0.375,S.caudatus
0.285714286,S.caudatus
0.375,S.caudatus
0.30952381,S.caudatus
0.300510204,S.caudatus
0.285714286,S.caudatus
0.243386243,S.caudatus
0.363636364,S.caudatus
0.482142857,S.caudatus
0.33,S.caudatus
0.4,S.caudatus
0.226349206,S.caudatus
0.477777778,S.caudatus
0.291666667,S.caudatus
0.288690476,S.caudatus
0.390625,S.caudatus
0.4375,S.caudatus
0.567226891,S.caudatus
0.56998557,S.caudatus
0.714285714,S.badeigularis
0.681818182,S.badeigularis
0.522265625,S.badeigularis
0.6,S.badeigularis
0.4,S.badeigularis
0.6,S.badeigularis
0.52173913,S.badeigularis
0.363095238,S.badeigularis
0.727272727,S.badeigularis
0.662601626,S.badeigularis
0.833333333,S.badeigularis
0.666666667,S.badeigularis
0.701449275,S.badeigularis
1,S.badeigularis
0.444444444,S. troglodytoides
0.175118708,S. troglodytoides
0.438271605,S. troglodytoides
0.166666667,S. troglodytoides
0.467741935,S. troglodytoides
0.152777778,S. troglodytoides
0.20170068,S. troglodytoides
0.428571429,S. troglodytoides
0.453416149,S. troglodytoides
0.142857143,S. troglodytoides
0.625,S. troglodytoides
0.269460227,S. troglodytoides
0.201481481,S. troglodytoides
0.6,S. troglodytoides
0.25,S. troglodytoides
0.133333333,S. troglodytoides
0.333333333,S. troglodytoides
0.5,S. troglodytoides
0.428571429,S. troglodytoides
0.542028986,S. chocolatinus
0.338293651,S. chocolatinus
0.541666667,S. chocolatinus
0.342857143,S. chocolatinus
0.5,S. chocolatinus
0.5,S. chocolatinus
0.462962963,S. chocolatinus
0.5,S. chocolatinus
0.5,S. chocolatinus
0.715384615,S. chocolatinus
0.75,S. chocolatinus
0.75,S. chocolatinus
0.247252747,S. reptatus
0.161431161,S. reptatus
0.233325387,S. reptatus
0.287623488,S. reptatus
0.539455782,S. oatesi
0.571428571,S. oatesi
0.486842105,S. oatesi
0.590909091,S. oatesi
0.704585538,S. oatesi
0.428571429,S. oatesi
0.285714286,S. oatesi
0.43877551,S. oatesi
0.4,S. oatesi
0.285714286,S. oatesi
0.307563025,S. oatesi
0.8,S. oatesi
0.571428571,S. oatesi
0.428571429,S. oatesi
0.166666667,S. kinneari
0.153947368,S. kinneari
0.199338835,S. kinneari
0.191711018,S. kinneari
0.16374269,S. kinneari
0.153846154,S. kinneari
0.188888889,S. kinneari
0.73015873,S. longicaudatus
0.488730159,S. longicaudatus
0.468783069,S. longicaudatus
0.666666667,S. longicaudatus
0.5,S. longicaudatus
0.625,S. longicaudatus
0.4,S. longicaudatus
0.764285714,S. longicaudatus
0.585714286,S. longicaudatus
0.548387097,S. longicaudatus
0.5,S. longicaudatus